Term	Term ID
	1
0	2763
00	1580
000	3614
01	1123
02	212
03	230
04	237
05	855
06	251
07	255
08	662
09	280
1	27
10	120
100	25
1006	2040
1007	144
101	1213
1012	3831
1015	4111
102	1220
1022	3657
1023	612
1024	1339
1025	2163
1026	1383
1028	2665
1029	2666
103	1256
104	1298
1040	3005
1046	145
1047	3923
1049	3446
105	1303
1050	1364
1051	1341
1053	3554
106	1340
1062	3741
107	1090
1072	2876
108	1392
1081	3850
1083	2667
1084	3832
1087	3039
109	1398
1092	3006
1093	3167
1098	3833
11	140
110	1403
1100	858
1102	1342
1104	859
1105	3364
1107	860
1109	1522
111	1420
1112	3600
112	1422
1121	3742
1122	3834
1128	1746
113	1426
1130	2320
1131	146
1132	1343
1134	238
1135	3890
1136	3892
1137	3369
1138	3835
1139	147
114	1429
1140	148
1141	521
1142	3825
1146	3268
1148	1062
1149	149
115	1433
1157	3847
1159	213
116	1464
1162	2041
117	1468
1172	2362
1173	2504
1175	958
1177	2860
1179	2164
118	1473
1180	2059
1184	3237
1188	1523
119	1477
1190	2837
1197	2861
1198	150
12	206
120	1481
1200	3836
1205	856
121	1486
1214	2668
1215	151
1216	4256
122	1491
1222	2318
1223	152
1226	3196
1228	2838
123	28
1234	2423
1237	2359
124	1555
1241	3007
1242	1856
1248	3354
125	1561
1258	1384
126	1566
1263	3365
1265	153
127	1568
1270	1697
1271	3057
1273	40
1278	2669
128	1572
1284	1605
129	1576
1292	1095
1295	3102
1298	3519
13	210
130	1581
1303	154
1306	1524
131	1585
1311	3429
1312	2839
1316	1606
1319	1633
132	1590
1323	155
1325	3724
1326	3486
1327	2363
1328	3887
133	1597
1330	4054
1334	2670
1336	3837
134	1603
1346	4112
1349	1050
135	1610
1352	3001
1354	2364
1356	3008
1358	156
136	1613
1365	2671
1366	157
137	1619
138	1625
1380	1369
1386	2672
1387	2673
1388	2674
1389	2060
139	1629
1390	1344
1392	2675
1393	1365
1394	2676
1395	2677
1396	2664
1397	2678
14	183
140	1544
141	1639
142	1645
1421	158
1425	2355
143	1656
144	1692
1440	3424
145	1696
1455	2042
146	1721
1460	159
1462	160
1463	161
1464	1525
1467	162
1468	163
1469	2061
147	1724
1471	2548
1477	164
148	1726
1486	1345
1487	3838
1489	2365
149	1733
1491	165
1496	166
1497	1385
15	220
150	1740
151	1744
152	1635
1524	2854
153	1751
1531	167
1535	168
1537	3231
1539	3232
154	1758
1548	2366
1549	1346
155	1762
1552	3234
1558	4013
156	1770
1565	169
157	1772
1573	3520
158	1775
159	1777
1592	3602
1593	1094
1594	4014
16	231
160	1779
1601	170
1602	171
1604	1513
1605	2165
161	1785
1611	3100
1613	172
1614	173
162	1646
1620	3537
1626	174
163	1647
1630	3487
164	29
1641	175
1645	4113
1647	2161
1648	3952
165	38
166	1802
1665	3235
1667	1855
167	1809
168	575
1682	4015
169	1821
1693	1959
16th	2334
17	239
170	1823
1706	1347
1707	3978
171	1825
1713	1814
1716	3953
172	1829
1723	3630
1729	2849
173	1833
174	1841
1746	2535
1749	2062
175	1482
1751	1816
1753	2536
1754	1817
176	1847
1767	1526
177	1852
1774	2502
178	1854
1781	139
1785	3058
1786	3061
1787	176
1788	177
179	1863
1792	2162
1793	1072
1794	3954
18	252
180	1867
1804	3483
1806	4149
181	1871
1816	1562
182	1875
1824	3366
1826	1348
183	1878
1834	1960
184	1884
1841	3228
185	578
1854	4229
186	1920
1860	3236
1861	3396
1869	2063
187	1924
1878	1349
1879	2521
188	1928
1880	2824
1883	41
189	1932
1894	3955
19	256
190	1935
1901	1815
1902	1698
1909	1604
191	1937
1919	953
192	1648
193	1943
1931	2856
194	1947
1945	3826
1946	3163
1947	3352
1949	1527
195	1951
1957	748
1958	11
1959	390
196	39
1960	1215
1961	2213
1962	3438
1963	3774
1969	2825
197	1970
1972	1372
1973	3062
1978	21
197811	3119
198	1974
1980	2826
1982	33
1988	141
199	1978
1997	2827
2	61
20	281
200	1983
2000	3281
201	1986
2017	2828
202	2008
2023	1366
203	2016
2031	3655
204	2025
2040	3002
2042	2840
2043	3956
2044	4005
2046	2064
2048	2507
205	30
2059	1529
206	797
2060	1351
207	798
2074	3516
2075	3766
208	2053
2081	3561
2082	3996
2087	4016
209	1370
2093	3517
21	287
210	31
2107	3063
2109	3064
211	2084
2110	2065
2111	3603
212	2087
2120	3230
2125	3488
2126	1530
213	2092
2133	1556
2134	1557
214	32
2146	2773
2148	2066
215	739
2151	2067
2155	1352
216	2103
2167	2068
2168	1353
217	2106
218	2113
2185	1650
2189	4007
219	2117
2191	2833
2192	2069
22	20
220	389
2203	3065
221	1487
2210	2070
2214	2857
222	526
2220	2361
2227	2821
223	2138
2230	4017
224	178
225	2168
2253	3559
226	2170
227	2172
228	2176
229	2179
2292	4018
23	306
230	2181
231	2187
2317	4019
232	959
233	2194
2333	1069
2339	3604
234	2198
2349	3950
235	2202
2358	2533
236	1051
237	2222
238	2228
2388	2834
239	2238
24	313
240	2243
241	2264
2417	4008
242	2278
243	2309
2435	2522
2438	1374
244	2314
245	2319
2456	2841
2457	2071
246	2324
247	2327
248	2348
249	179
2498	2523
25	318
250	2358
2505	4009
251	2382
2513	2072
252	2399
253	2406
254	1520
2543	3059
2544	2858
2546	3367
2547	3489
255	2427
2550	3518
2552	3060
2557	3560
256	807
257	2434
258	2440
259	2445
26	324
260	2449
261	2452
262	2456
263	2460
2633	3490
264	2465
2645	2073
265	2474
2651	2074
2657	2075
266	2478
2665	2076
267	2160
2679	2829
268	2487
2683	4020
269	2491
2690	2017
27	335
270	2495
2709	2842
271	1961
2710	3893
2719	1354
272	1521
2723	1355
2727	1651
273	2505
2732	1533
2734	2524
2736	1375
274	2532
275	2540
276	2506
2765	3894
2766	2077
277	2553
2773	2525
278	2591
2783	2822
2784	2848
279	2593
28	23
280	2601
281	2611
282	2635
283	2638
2833	1376
2838	1356
284	2663
2842	1357
2846	1764
285	2691
2850	2078
2855	1358
286	2694
2860	3886
287	2699
2871	4021
2874	4010
2879	1359
288	180
2884	4022
2888	3895
289	2709
29	60
290	2714
2906	3896
2908	4011
291	2720
2911	2520
292	2727
293	2732
294	2734
295	2737
2952	1644
2954	2079
296	1371
297	1492
298	2771
2983	2526
2987	3485
299	2467
2998	2080
2n	2252
3	73
30	72
300	2789
3008	2055
301	2793
302	2796
303	675
304	2809
305	2813
3054	2823
306	2817
307	2820
3073	1536
3077	1360
308	960
3080	1361
309	961
31	360
310	2321
3106	1362
311	2855
3112	1367
312	2865
3121	2835
313	2867
314	2871
315	2873
316	181
317	2883
318	2894
3184	47
3185	2354
3187	962
3188	188
3189	2043
319	2911
3191	4023
3192	3392
3193	3393
3194	2026
3197	2108
3199	2679
32	82
320	2360
3200	2680
3201	2681
3202	2682
3203	2683
3204	2684
321	1528
322	2998
323	1052
324	42
325	3014
326	3018
327	1857
328	3024
329	3040
33	92
330	3042
331	3045
332	3056
333	2182
334	3070
335	3085
336	3090
337	3093
338	3096
339	3098
34	382
340	3101
341	3105
342	3108
343	3112
344	3116
345	3120
346	3122
347	3125
348	3127
349	3129
35	104
350	3133
351	3137
352	3140
353	3143
354	3146
355	3148
356	3151
357	3155
358	3157
359	3160
36	109
360	3164
361	1393
362	1649
363	3173
364	522
365	3180
366	3183
367	1373
368	3201
369	3203
37	115
370	3206
371	3209
372	3211
373	3215
374	3219
375	3222
376	2537
377	3229
378	1350
379	3241
38	403
380	2912
381	182
382	3253
383	3259
384	3262
385	2966
386	3269
387	1962
388	3273
389	3276
39	119
390	3278
391	3283
392	3287
393	977
